,school,address,street_addr,zip
0,Academy Park Elementary School,"4580 W Westpoint Drive (4575 S)
West Valley, UT 84120-5920",4580 W Westpoint Drive,84120-5920
2,Beehive Elementary School,"5655 South 5220 West
Kearns, UT 84118-7500",5655 South 5220 West,84118-7500
6,Churchill Junior High,"3450 E Oakview Drive (4275 S)
Salt Lake City, UT 84124-3242",3450 E Oakview Drive,84124-3242
8,Cottonwood Elementary School,"5205 S Holladay Boulevard (2600 E)
Holladay, UT 84117-7126",5205 S Holladay Boulevard,84117-7126
10,Crestview Elementary School,"2100 E Lincoln Lane (4350 S)
Holladay, UT 84124-2747",2100 E Lincoln Lane,84124-2747
12,Cyprus: Brockbank Campus,"2935 S 8560 W
Magna, UT 84044",2935 S 8560 W,84044
13,David Gourley Elementary School,"4905 South 4300 West
Kearns, UT 84118-4817",4905 South 4300 West,84118-4817
14,Diamond Ridge Elementary School,"6034 W Mill Valley Lane (6365 S)
West Valley, UT 84118-9315",6034 W Mill Valley Lane,84118-9315
15,Douglas T Orchard Elementary,"6744 West 3800 South
West Valley, UT 84128-3510",6744 West 3800 South,84128-3510
16,Eastwood Elementary School,"3305 S Wasatch Boulevard (3560 East)
Salt Lake City, UT 84109-3262",3305 S Wasatch Boulevard,84109-3262
17,Eisenhower Junior High,"4351 S Redwood Road (1700 W)
Taylorsville, UT 84123-2221",4351 S Redwood Road,84123-2221
19,Evergreen Junior High,"3401 South 2000 East
Salt Lake City, UT 84109-2934",3401 South 2000 East,84109-2934
21,Gearld L Wright Elementary School,"6760 West 3100 South
Salt Lake City, UT 84128-5602",6760 West 3100 South,84128-5602
22,Granger Elementary School,"3700 South 1950 West
West Valley, UT 84119-3891",3700 South 1950 West,84119-3891
27,Granite Transition Services,"382 E Baird Avenue (3605 S)
Salt Lake City, UT 84115-4633",382 E Baird Avenue,84115-4633
28,Harry S Truman Elementary School,"4639 South 3200 West
West Valley, UT 84119-5943",4639 South 3200 West,84119-5943
30,Hillside Elementary School,"4283 South 6000 West
West Valley, UT 84128-6510",4283 South 6000 West,84128-6510
31,Howard R Driggs Elementary,"4340 South 2700 East
Holladay, UT 84124-3750",4340 South 2700 East,84124-3750
32,Hunter Elementary School,"4351 South 5400 West
West Valley, UT 84120-4644",4351 South 5400 West,84120-4644
34,Hunter Jr. High,"6131 West 3785 South
West Valley, UT 84128-2546",6131 West 3785 South,84128-2546
37,Jim Bridger Elementary School,"5368 W Cyclamen Way (6300 S)
West Jordan, UT 84084-5939",5368 W Cyclamen Way,84084-5939
38,John C Fremont Elementary School,"4249 S Atherton Drive (1425 W)
Taylorsville, UT 84123-2225",4249 S Atherton Drive,84123-2225
39,John F. Kennedy Jr. High,"4495 South 4800 West
West Valley, UT 84120-5927",4495 South 4800 West,84120-5927
43,Lincoln Elementary School,"450 East 3700 South
Salt Lake City, UT 84115-4634",450 East 3700 South,84115-4634
44,Magna Elementary School,"8500 West 3100 South
Magna, UT 84044-1729",8500 West 3100 South,84044-1729
46,Monroe Elementary School,"4450 West 3100 South
West Valley, UT 84120-1510",4450 West 3100 South,84120-1510
47,Neil Armstrong Academy,"5194 W Highbury Park Way
West Valley City, UT 84120-5920",5194 W Highbury Park Way,84120-5920
48,Oakridge Elementary School,"4325 S Jupiter Drive (3755 E)
Salt Lake City, UT 84124-3906",4325 S Jupiter Drive,84124-3906
49,Oakwood Elementary School,"5815 S Highland Drive (1900 E)
Holladay, UT 84121-1325",5815 S Highland Drive,84121-1325
50,Olene Walker Elementary School,"3751 South 900 West
Salt Lake City, UT 84119",3751 South 900 West,84119
53,Philo T Farnsworth Elementary,"3751 South 4225 West
West Valley, UT 84120-3126",3751 South 4225 West,84120-3126
55,Pleasant Green Elementary School,"8201 West 2700 South
Magna, UT 84044-1323",8201 West 2700 South,84044-1323
57,Plymouth Elementary School,"5220 South 1470 West
Taylorsville, UT 84123-4810",5220 South 1470 West,84123-4810
61,Scott M. Matheson Jr. High,"3650 S Montclair Street (7730 W)
Magna, UT 84044-2522",3650 S Montclair Street,84044-2522
62,Silver Hills Elementary School,"5770 West 5100 South
Salt Lake City, UT 84118-8410",5770 West 5100 South,84118-8410
64,South Kearns Elementary School,"5544 S 4385 W
Kearns, UT 84118-5514",5544 S 4385 W,84118-5514
65,Spring Lane Elementary School,"5315 South 1700 East
Holladay, UT 84117-7499",5315 South 1700 East,84117-7499
66,Taylorsville Elementary School,"2010 West 4230 South
Taylorsville, UT 84129-5428",2010 West 4230 South,84129-5428
68,Thomas Jefferson Jr. High,"5850 South 5600 West
Kearns, UT 84118-7957",5850 South 5600 West,84118-7957
72,Valley Crest Elementary School,"5240 West 3100 South
West Valley, UT 84120-1425",5240 West 3100 South,84120-1425
73,Valley Jr. High,"4195 South 3200 West
West Valley, UT 84119-5128",4195 South 3200 West,84119-5128
74,Vista Elementary School,"4925 South 2200 West
Taylorsville, UT 84129-1662",4925 South 2200 West,84129-1662
75,Wasatch Jr. High,"3750 South 3100 East
Salt Lake City, UT 84109-3719",3750 South 3100 East,84109-3719
76,West Kearns Elementary School,"4900 South 4620 West
Kearns, UT 84118-6299",4900 South 4620 West,84118-6299
77,West Lake STEM,"3451 West 6200 South
Taylorsville, UT 84129",3451 West 6200 South,84129
80,Whittier Elementary School,"3585 South 6000 West
West Valley, UT 84128-2674",3585 South 6000 West,84128-2674
81,William Penn Elementary School,"1670 E Siggard Drive (3705 S)
Salt Lake City, UT 84106-3240",1670 E Siggard Drive,84106-3240
82,Woodrow Wilson Elementary School,"2567 S Main Street (1 E)
Salt Lake City, UT 84115-3044",2567 S Main Street,84115-3044
83,Woodstock Elementary School,"6015 South 1300 East
Murray, UT 84121-1717",6015 South 1300 East,84121-1717
1,Arcadia Elementary,"3461 W 4850 S, Salt Lake City, UT 84129",3461 W 4850 S,84129
3,Bennion Jr. High,"6055 S 2700 W, Salt Lake City, UT 84129",6055 S 2700 W,84129
4,Bonneville Junior High,"5330 Gurene Dr, Holladay, UT 84117",5330 Gurene Dr,84117
5,Calvin S. Smith Elementary,"2150 W 6200 S, Taylorsville, UT 84129",2150 W 6200 S,84129
7,Copper Hills Elementary School,"7635 W Washington Rd, Magna, UT 84044",7635 W Washington Rd,84044
9,Cottonwood High,"5715 S 1300 E, Murray, UT 84121",5715 S 1300 E,84121
11,Cyprus High,"8623 W 3000 S, Magna UT 84044",8623 W 3000 S,84044
18,Elk Run Elementary,"3550 S 8575 W, Magna, UT 84044",3550 S 8575 W,84044
20,Fox Hills Elementary,"3775 W 6020 S, Taylorsville, UT 84129",3775 W 6020 S,84129
23,Granger High,"3580 3600 W, West Valley City, UT 84119",3580 3600 W,84119
24,Granite Connection High,"501 E 3900 S, Salt Lake City, UT 84107",501 E 3900 S,84107
25,Granite Park Jr High,"3031 S 200 E, South Salt Lake, UT 84115",3031 S 200 E,84115
26,Granite Technical Institute,"2500 S State St, South Salt Lake, UT 84115",2500 S State St,84115
29,Hartvigsen School,"1510 W 5400 S, Taylorsville, UT 84123",1510 W 5400 S,84123
33,Hunter High,"4200 S 5600 W, West Valley City, UT 84120",4200 S 5600 W,84120
35,Jackling Elementary School,"3760 Atlas Way, West Valley City, UT 84120",3760 Atlas Way,84120
36,James E. Moss Elementary,"4399 S 500 E, Millcreek, UT 84107",4399 S 500 E,84107
40,Kearns High,"5525 S Cougar Ln,	Kearns, UT 84118",5525 S Cougar Ln,84118
41,Kearns Jr. High,"4040 Westsams Blvd, Kearns, UT 84118",4040 Westsams Blvd,84118
42,Lake Ridge Elementary School,"7400 W 3395 S, Magna, UT 84044",7400 W 3395 S,84044
45,Mill Creek Elementary,"3761 S 1100 E, Millcreek, UT 84106",3761 S 1100 E,84106
51,Olympus High,"4055 S 2300 E, Salt Lake City, UT 84124",4055 S 2300 E,84124
52,Olympus Jr. High,"2217 E Murray Holladay Rd, Salt Lake City, UT 84117",2217 E Murray Holladay Rd,84117
54,Pioneer Elementary School,"3860 S 3380 W, West Valley City, UT 84119",3860 S 3380 W,84119
56,Plymouth Elementary,"5220 S 1470 W, Taylorsville, UT 84123",5220 S 1470 W,84123
58,Robert Frost Elementary School,"3444 W 4400 S, West Valley City, UT 84119",3444 W 4400 S,84119
59,Rolling Meadows Elementary,"2950 Whitehall Dr, West Valley City, UT 84119",2950 Whitehall Dr,84119
60,Roosevelt Continuation School,"3225 S 800 E, Millcreek, UT 84106",3225 S 800 E,84106
63,Skyline High,"3251 E 3760 S, Salt Lake City, UT 84109",3251 E 3760 S,84109
67,Taylorsville High,"5225 S Redwood Rd, Taylorsville, UT 84123",5225 S Redwood Rd,84123
69,Thomas W Bacchus Elementary,"5925 S Copper City Dr, Kearns, UT 84118",5925 S Copper City Dr,84118
70,Twin Peaks Elementary,"5325 S 1045 E, Salt Lake City, UT 84117",5325 S 1045 E,84117
71,Upland Terrace Elementary School,"3700 S Sunnydale Dr, Salt Lake City, UT 84109",3700 S Sunnydale Dr,84109
78,West Valley Elementary,"6049 Brud Dr, West Valley City, UT 84128",6049 Brud Dr,84128
79,Western Hills Elementary,"5190 Heath Ave, Kearns, UT 84118",5190 Heath Ave,84118
