School name ,School address 
Academy Park Elementary School,"4580 W Westpoint Drive (4575 S)
West Valley, UT 84120-5920"
Arcadia Elementary,"3461 W 4850 S, Salt Lake City, UT 84129"
Beehive Elementary School,"5655 South 5220 West
Kearns, UT 84118-7500"
Bennion Jr. High,"6055 S 2700 W, Salt Lake City, UT 84129"
Bonneville Junior High,"5330 Gurene Dr, Holladay, UT 84117"
Calvin S. Smith Elementary,"2150 W 6200 S, Taylorsville, UT 84129"
Churchill Junior High,"3450 E Oakview Drive (4275 S)
Salt Lake City, UT 84124-3242"
Copper Hills Elementary School,"7635 W Washington Rd, Magna, UT 84044"
Cottonwood Elementary School,"5205 S Holladay Boulevard (2600 E)
Holladay, UT 84117-7126"
Cottonwood High,"5715 S 1300 E, Murray, UT 84121"
Crestview Elementary School,"2100 E Lincoln Lane (4350 S)
Holladay, UT 84124-2747"
Cyprus High,"8623 W 3000 S, Magna UT 84044"
Cyprus: Brockbank Campus,"2935 S 8560 W
Magna, UT 84044"
David Gourley Elementary School,"4905 South 4300 West
Kearns, UT 84118-4817"
Diamond Ridge Elementary School,"6034 W Mill Valley Lane (6365 S)
West Valley, UT 84118-9315"
Douglas T Orchard Elementary,"6744 West 3800 South
West Valley, UT 84128-3510"
Eastwood Elementary School,"3305 S Wasatch Boulevard (3560 East)
Salt Lake City, UT 84109-3262"
Eisenhower Junior High,"4351 S Redwood Road (1700 W)
Taylorsville, UT 84123-2221"
Elk Run Elementary,"3550 S 8575 W, Magna, UT 84044"
Evergreen Junior High,"3401 South 2000 East
Salt Lake City, UT 84109-2934"
Fox Hills Elementary,"3775 W 6020 S, Taylorsville, UT 84129"
Gearld L Wright Elementary School,"6760 West 3100 South
Salt Lake City, UT 84128-5602"
Granger Elementary School,"3700 South 1950 West
West Valley, UT 84119-3891"
Granger High,"3580 3600 W, West Valley City, UT 84119"
Granite Connection High,"501 E 3900 S, Salt Lake City, UT 84107"
Granite Park Jr High,"3031 S 200 E, South Salt Lake, UT 84115"
Granite Technical Institute,"2500 S State St, South Salt Lake, UT 84115"
Granite Transition Services,"382 E Baird Avenue (3605 S)
Salt Lake City, UT 84115-4633"
Harry S Truman Elementary School,"4639 South 3200 West
West Valley, UT 84119-5943"
Hartvigsen School,"1510 W 5400 S, Taylorsville, UT 84123"
Hillside Elementary School,"4283 South 6000 West
West Valley, UT 84128-6510"
Howard R Driggs Elementary,"4340 South 2700 East
Holladay, UT 84124-3750"
Hunter Elementary School,"4351 South 5400 West
West Valley, UT 84120-4644"
Hunter High,"4200 S 5600 W, West Valley City, UT 84120"
Hunter Jr. High,"6131 West 3785 South
West Valley, UT 84128-2546"
Jackling Elementary School,"3760 Atlas Way, West Valley City, UT 84120"
James E. Moss Elementary,"4399 S 500 E, Millcreek, UT 84107"
Jim Bridger Elementary School,"5368 W Cyclamen Way (6300 S)
West Jordan, UT 84084-5939"
John C Fremont Elementary School,"4249 S Atherton Drive (1425 W)
Taylorsville, UT 84123-2225"
John F. Kennedy Jr. High,"4495 South 4800 West
West Valley, UT 84120-5927"
Kearns High,"5525 S Cougar Ln,	Kearns, UT 84118"
Kearns Jr. High,"4040 Westsams Blvd, Kearns, UT 84118"
Lake Ridge Elementary School,"7400 W 3395 S, Magna, UT 84044"
Lincoln Elementary School,"450 East 3700 South
Salt Lake City, UT 84115-4634"
Magna Elementary School,"8500 West 3100 South
Magna, UT 84044-1729"
Mill Creek Elementary,"3761 S 1100 E, Millcreek, UT 84106"
Monroe Elementary School,"4450 West 3100 South
West Valley, UT 84120-1510"
Neil Armstrong Academy,"5194 W Highbury Park Way
West Valley City, UT 84120-5920"
Oakridge Elementary School,"4325 S Jupiter Drive (3755 E)
Salt Lake City, UT 84124-3906"
Oakwood Elementary School,"5815 S Highland Drive (1900 E)
Holladay, UT 84121-1325"
Olene Walker Elementary School,"3751 South 900 West
Salt Lake City, UT 84119"
Olympus High,"4055 S 2300 E, Salt Lake City, UT 84124"
Olympus Jr. High,"2217 E Murray Holladay Rd, Salt Lake City, UT 84117"
Philo T Farnsworth Elementary,"3751 South 4225 West
West Valley, UT 84120-3126"
Pioneer Elementary School,"3860 S 3380 W, West Valley City, UT 84119"
Pleasant Green Elementary School,"8201 West 2700 South
Magna, UT 84044-1323"
Plymouth Elementary,"5220 S 1470 W, Taylorsville, UT 84123"
Plymouth Elementary School,"5220 South 1470 West
Taylorsville, UT 84123-4810"
Robert Frost Elementary School,"3444 W 4400 S, West Valley City, UT 84119"
Rolling Meadows Elementary,"2950 Whitehall Dr, West Valley City, UT 84119"
Roosevelt Continuation School,"3225 S 800 E, Millcreek, UT 84106"
Scott M. Matheson Jr. High,"3650 S Montclair Street (7730 W)
Magna, UT 84044-2522"
Silver Hills Elementary School,"5770 West 5100 South
Salt Lake City, UT 84118-8410"
Skyline High,"3251 E 3760 S, Salt Lake City, UT 84109"
South Kearns Elementary School,"5544 S 4385 W
Kearns, UT 84118-5514"
Spring Lane Elementary School,"5315 South 1700 East
Holladay, UT 84117-7499"
Taylorsville Elementary School,"2010 West 4230 South
Taylorsville, UT 84129-5428"
Taylorsville High,"5225 S Redwood Rd, Taylorsville, UT 84123"
Thomas Jefferson Jr. High,"5850 South 5600 West
Kearns, UT 84118-7957"
Thomas W Bacchus Elementary,"5925 S Copper City Dr, Kearns, UT 84118"
Twin Peaks Elementary,"5325 S 1045 E, Salt Lake City, UT 84117"
Upland Terrace Elementary School,"3700 S Sunnydale Dr, Salt Lake City, UT 84109"
Valley Crest Elementary School,"5240 West 3100 South
West Valley, UT 84120-1425"
Valley Jr. High,"4195 South 3200 West
West Valley, UT 84119-5128"
Vista Elementary School,"4925 South 2200 West
Taylorsville, UT 84129-1662"
Wasatch Jr. High,"3750 South 3100 East
Salt Lake City, UT 84109-3719"
West Kearns Elementary School,"4900 South 4620 West
Kearns, UT 84118-6299"
West Lake STEM,"3451 West 6200 South
Taylorsville, UT 84129"
West Valley Elementary,"6049 Brud Dr, West Valley City, UT 84128"
Western Hills Elementary,"5190 Heath Ave, Kearns, UT 84118"
Whittier Elementary School,"3585 South 6000 West
West Valley, UT 84128-2674"
William Penn Elementary School,"1670 E Siggard Drive (3705 S)
Salt Lake City, UT 84106-3240"
Woodrow Wilson Elementary School,"2567 S Main Street (1 E)
Salt Lake City, UT 84115-3044"
Woodstock Elementary School,"6015 South 1300 East
Murray, UT 84121-1717"
